id,role,channel,date,ts,thread_ts,subtype,reactions,word_count,has_mention,has_url,active,mentions
User_0002,Leadership,webpage,2020-04-03 02:47:08.028400,1585896428.0284,1585590032.011000,,[],3,False,False,True,
User_0100,Leadership,webpage,2021-02-25 00:34:49.002400,1614231289.0024,1614231289.002400,,"[{""name"": ""+1"", ""users"": [""User_0003"", ""User_0002""], ""count"": 2}, {""name"": ""heart"", ""users"": [""User_0003"", ""User_0002""], ""count"": 2}, {""name"": ""gccr"", ""users"": [""User_0003"", ""User_0002""], ""count"": 2}, {""name"": ""pray"", ""users"": [""User_0003"", ""User_0002""], ""count"": 2}]",61,True,True,True,"User_0030,User_0226"
User_0048,Member,_india,2020-03-25 15:35:32.000200,1585164932.0002,,channel_join,[],5,True,False,True,User_0048
User_0186,Member,_india,2020-03-25 15:35:32.000400,1585164932.0004,,channel_join,[],5,True,False,True,User_0186
User_0060,Leadership,_india,2020-03-26 07:23:44.000200,1585221824.0002,,channel_join,[],5,True,False,True,User_0060
User_0067,Member,_india,2020-03-26 12:11:02.000400,1585239062.0004,,channel_join,[],5,True,False,True,User_0067
User_0002,Leadership,_india,2020-03-26 23:54:14.000200,1585281254.0002,,channel_join,[],5,True,False,True,User_0002
User_0048,Member,_india,2020-03-27 04:20:06.000300,1585297206.0003,,channel_archive,[],3,False,False,True,
User_0378,Member,r_figures,2020-10-22 08:39:27.000200,1603370367.0002,,channel_join,[],5,True,False,True,User_0378
User_0255,Member,r_figures,2021-05-19 14:53:15.000200,1621450395.0002,,channel_join,[],5,True,False,True,User_0255
User_0244,Member,r_figures,2020-05-16 08:41:42.004100,1589632902.0041,,channel_join,[],5,True,False,True,User_0244
User_0619,Member,r_figures,2021-04-10 14:07:10.000200,1618078030.0002,,channel_join,[],5,True,False,True,User_0619
User_0100,Leadership,r_figures,2020-06-10 12:40:14.004400,1591807214.0044,,channel_join,[],5,True,False,True,User_0100
User_0100,Leadership,r_figures,2020-06-10 12:41:43.005100,1591807303.0051,,,[],15,True,False,True,User_0368
User_0368,Member,r_figures,2020-06-10 16:05:17.005900,1591819517.0059,,,[],8,False,False,True,
User_0368,Member,r_figures,2020-06-10 16:07:10.006100,1591819630.0061,,,[],322,False,True,True,
User_0368,Member,r_figures,2020-06-10 16:07:16.006300,1591819636.0063,,,[],4,False,False,True,
User_0368,Member,r_figures,2020-06-10 16:07:31.006700,1591819651.0067,,,[],8,False,False,True,
User_0368,Member,r_figures,2020-06-10 16:07:41.007000,1591819661.007,,,"[{""name"": ""exploding_head"", ""users"": [""User_0100""], ""count"": 1}, {""name"": ""astonished"", ""users"": [""User_0100""], ""count"": 1}, {""name"": ""zany_face"", ""users"": [""User_0100""], ""count"": 1}]",5,False,False,True,
User_0368,Member,r_figures,2020-06-10 16:07:49.007200,1591819669.0072,,,[],4,False,False,True,
User_0368,Member,r_figures,2020-06-10 16:08:02.007400,1591819682.0074,,,[],15,False,False,True,
User_0368,Member,r_figures,2020-06-10 16:08:18.007600,1591819698.0076,,,[],7,False,False,True,
User_0368,Member,r_figures,2020-06-10 16:08:44.008100,1591819724.0081,,,[],19,False,False,True,
User_0368,Member,r_figures,2020-06-10 16:09:20.008400,1591819760.0084,,,[],7,False,False,True,
User_0368,Member,r_figures,2020-06-10 16:09:45.008800,1591819785.0088,1591819785.008800,,[],18,False,False,True,
User_0100,Leadership,r_figures,2020-06-11 01:52:41.009200,1591854761.0092,1591819785.008800,,[],29,False,False,True,
User_0060,Leadership,r_figures,2020-05-14 05:51:04.000200,1589449864.0002,,channel_join,[],5,True,False,True,User_0060
User_0003,Leadership,r_figures,2020-05-14 05:51:46.000400,1589449906.0004,,channel_join,[],5,True,False,True,User_0003
User_0089,Member,r_figures,2020-05-14 05:51:46.000600,1589449906.0006,,channel_join,[],5,True,False,True,User_0089
User_0192,Member,r_figures,2020-05-14 05:51:46.000800,1589449906.0008,,channel_join,[],5,True,False,True,User_0192
User_0368,Member,r_figures,2020-05-14 05:51:46.001000,1589449906.001,,channel_join,[],5,True,False,True,User_0368
User_0186,Member,r_figures,2020-05-14 05:51:47.001200,1589449907.0012,,channel_join,[],5,True,False,True,User_0186
User_0190,Member,r_figures,2020-05-14 05:51:47.001400,1589449907.0014,,channel_join,[],5,True,False,True,User_0190
User_0117,Member,r_figures,2020-05-14 05:51:47.001600,1589449907.0016,,channel_join,[],5,True,False,True,User_0117
User_0060,Leadership,r_figures,2020-05-14 05:51:51.001800,1589449911.0018,,,[],121,True,False,True,User_0368
User_0368,Member,r_figures,2020-05-14 05:52:07.002100,1589449927.0021,,,"[{""name"": ""tada"", ""users"": [""User_0060"", ""User_0236"", ""User_0244""], ""count"": 3}]",8,False,False,True,
User_0442,Member,r_figures,2020-05-14 06:04:35.002500,1589450675.0025,,channel_join,[],5,True,False,True,User_0442
User_0380,Member,r_figures,2020-05-14 06:04:43.002700,1589450683.0027,,channel_join,[],5,True,False,True,User_0380
User_0236,Member,r_figures,2020-05-14 06:04:54.002900,1589450694.0029,,channel_join,[],5,True,False,True,User_0236
User_0443,Member,r_figures,2020-05-14 06:05:06.003100,1589450706.0031,,channel_join,[],5,True,False,True,User_0443
User_0003,Leadership,r_figures,2020-05-14 06:05:39.003700,1589450739.0037,,,"[{""name"": ""tada"", ""users"": [""User_0060""], ""count"": 1}]",16,False,False,True,
User_0368,Member,r_figures,2020-06-11 03:31:09.009400,1591860669.0094,1591819785.008800,,[],10,False,False,True,
User_0368,Member,r_figures,2020-06-11 03:31:16.009600,1591860676.0096,1591819785.008800,,[],2,False,False,True,
User_0368,Member,r_figures,2020-06-11 03:31:52.009800,1591860712.0098,1591819785.008800,,[],9,False,False,True,
User_0368,Member,r_figures,2020-06-11 03:32:21.010000,1591860741.01,1591819785.008800,,[],10,False,False,True,
User_0368,Member,r_figures,2020-06-11 03:32:39.010200,1591860759.0102,1591819785.008800,,[],17,False,False,True,
User_0100,Leadership,r_figures,2020-06-11 11:26:47.010400,1591889207.0104,1591819785.008800,,[],1,False,False,True,
User_0402,Member,r_figures,2020-08-30 01:57:15.000200,1598767035.0002,,channel_join,[],5,True,False,True,User_0402
User_0060,Leadership,_sweden,2020-03-25 17:24:53.000200,1585171493.0002,,channel_join,[],5,True,False,True,User_0060
User_0087,Member,_sweden,2020-03-25 22:17:31.000200,1585189051.0002,,channel_join,[],5,True,False,True,User_0087
User_0087,Member,_sweden,2020-03-26 04:02:18.000800,1585209738.0008,,,[],13,True,False,True,User_0060
User_0060,Leadership,_sweden,2020-03-26 04:21:00.001200,1585210860.0012,,,[],6,True,False,True,User_0087
User_0060,Leadership,_sweden,2020-03-26 04:21:14.001600,1585210874.0016,,,[],12,False,False,True,
User_0087,Member,_sweden,2020-03-26 04:35:15.001900,1585211715.0019,,,"[{""name"": ""joy"", ""users"": [""User_0060""], ""count"": 1}]",6,False,False,True,
User_0096,Member,_sweden,2020-03-26 04:35:59.002200,1585211759.0022,,channel_join,[],5,True,False,True,User_0096
User_0013,Member,_sweden,2020-03-26 04:35:59.002400,1585211759.0024,,channel_join,[],5,True,False,True,User_0013
User_0007,Member,_sweden,2020-03-26 04:36:00.002600,1585211760.0026,,channel_join,[],5,True,False,True,User_0007
User_0013,Member,_sweden,2020-03-26 04:47:35.004400,1585212455.0044,1585212455.004400,,[],25,False,False,True,
User_0060,Leadership,_sweden,2020-03-26 04:50:43.004500,1585212643.0045,1585212455.004400,,[],3,False,True,True,
User_0087,Member,_sweden,2020-03-26 04:50:50.005000,1585212650.005,1585212650.005000,,[],5,False,True,True,
User_0060,Leadership,_sweden,2020-03-26 04:51:05.005100,1585212665.0051,1585212650.005000,,[],4,False,False,True,
User_0087,Member,_sweden,2020-03-26 04:51:23.005300,1585212683.0053,1585212455.004400,,[],16,False,False,True,
User_0060,Leadership,_sweden,2020-03-26 04:51:59.005500,1585212719.0055,1585212455.004400,,"[{""name"": ""+1"", ""users"": [""User_0087""], ""count"": 1}]",2,False,False,True,
User_0096,Member,_sweden,2020-03-26 06:22:30.006100,1585218150.0061,,,[],8,False,False,True,
User_0007,Member,_sweden,2020-03-26 12:33:32.008600,1585240412.0086,,,[],37,False,False,True,
User_0007,Member,_sweden,2020-03-26 12:34:38.009900,1585240478.0099,,,[],19,False,False,True,
User_0007,Member,_sweden,2020-03-26 12:36:21.011100,1585240581.0111,,,[],20,False,False,True,
User_0087,Member,_sweden,2020-03-26 13:40:11.011700,1585244411.0117,,,[],5,False,False,True,
User_0007,Member,_sweden,2020-03-26 13:42:38.012100,1585244558.0121,,,[],3,False,False,True,
User_0096,Member,_sweden,2020-03-26 13:55:46.013800,1585245346.0138,,,[],24,False,False,True,
User_0087,Member,_sweden,2020-04-06 04:09:45.015700,1586160585.0157,,,[],82,True,False,True,"User_0013,User_0096,User_0007,User_0160,User_0181,User_0267,User_0285"
User_0007,Member,_sweden,2020-04-06 04:10:36.016100,1586160636.0161,,,[],5,False,False,True,
User_0007,Member,_sweden,2020-04-06 04:11:17.017200,1586160677.0172,,,[],13,True,False,True,User_0096
User_0087,Member,_sweden,2020-04-06 04:11:18.017300,1586160678.0173,,,[],186,False,False,True,
User_0087,Member,_sweden,2020-04-06 04:12:20.018500,1586160740.0185,,,[],30,False,False,True,
User_0007,Member,_sweden,2020-04-06 04:12:36.018700,1586160756.0187,,,[],1,False,False,True,
User_0007,Member,_sweden,2020-04-06 04:13:02.019500,1586160782.0195,,,[],11,False,False,True,
User_0087,Member,_sweden,2020-04-06 04:13:59.019700,1586160839.0197,,,[],1,False,False,True,
User_0007,Member,_sweden,2020-04-06 04:15:34.020600,1586160934.0206,,,"[{""name"": ""slightly_smiling_face"", ""users"": [""User_0087""], ""count"": 1}]",14,False,False,True,
User_0060,Leadership,_sweden,2020-04-06 04:23:37.021900,1586161417.0219,,,[],32,False,False,True,
User_0100,Leadership,_sweden,2020-03-30 03:09:42.000200,1585552182.0002,,channel_join,[],5,True,False,True,User_0100
User_0100,Leadership,_sweden,2020-03-30 03:10:33.000400,1585552233.0004,,,[],82,True,False,True,"User_0100,User_0060"
User_0267,Member,_sweden,2020-03-30 05:29:33.000600,1585560573.0006,,channel_join,[],5,True,False,True,User_0267
User_0096,Member,_sweden,2020-03-30 06:00:56.001000,1585562456.001,,,[],2,True,False,True,User_0100
User_0160,Member,_sweden,2020-03-30 07:32:22.001200,1585567942.0012,,channel_join,[],5,True,False,True,User_0160
User_0181,Member,_sweden,2020-03-30 07:48:08.001400,1585568888.0014,,channel_join,[],5,True,False,True,User_0181
User_0100,Leadership,_sweden,2020-04-20 04:27:12.039100,1587371232.0391,,,[],32,False,True,True,
User_0013,Member,_sweden,2020-04-20 07:31:51.041800,1587382311.0418,,,"[{""name"": ""+1"", ""users"": [""User_0087""], ""count"": 1}]",37,False,True,True,
User_0013,Member,_sweden,2020-04-20 10:11:15.042000,1587391875.042,1586809732.027900,,[],1,False,True,True,
User_0013,Member,_sweden,2020-04-20 16:04:00.042500,1587413040.0425,,,[],31,True,True,True,User_0267
User_0060,Leadership,_sweden,2020-04-13 14:43:44.025800,1586803424.0258,,,"[{""name"": ""+1"", ""users"": [""User_0013""], ""count"": 1}]",1,False,True,True,
User_0013,Member,_sweden,2020-04-13 16:03:56.026800,1586808236.0268,,,"[{""name"": ""pray"", ""users"": [""User_0060""], ""count"": 1}]",17,False,False,True,
User_0087,Member,_sweden,2020-04-13 16:20:04.027500,1586809204.0275,,,"[{""name"": ""pray"", ""users"": [""User_0060""], ""count"": 1}]",18,False,False,True,
User_0060,Leadership,_sweden,2020-04-13 16:28:52.027900,1586809732.0279,1586809732.027900,,[],2,False,False,True,
User_0060,Leadership,_sweden,2020-04-13 16:29:12.028300,1586809752.0283,,,[],11,False,False,True,
